Credential Size,Components,Time (ms)
50,Issuing,317
50,Possession,166
50,ANY (1),261
50,ANY (3),259
50,ANY (5),257
50,ANY (7),256
50,ANY (9),256
50,AND,189
50,NANY (1),246
50,NANY (3),252
50,NANY (5),257
50,NANY (7),262
50,NANY (9),258
50,NAND,205
100,Issuing,628
100,Possession,295
100,ANY (1),450
100,ANY (3),448
100,ANY (5),444
100,ANY (7),440
100,ANY (9),437
100,AND,370
100,NANY (1),376
100,NANY (3),382
100,NANY (5),386
100,NANY (7),390
100,NANY (9),395
100,NAND,335
150,Issuing,994
150,Possession,430
150,ANY (1),684
150,ANY (3),679
150,ANY (5),678
150,ANY (7),672
150,ANY (9),666
150,AND,598
150,NANY (1),509
150,NANY (3),515
150,NANY (5),518
150,NANY (7),523
150,NANY (9),530
150,NAND,470
200,Issuing,1385
200,Possession,557
200,ANY (1),952
200,ANY (3),942
200,ANY (5),934
200,ANY (7),923
200,ANY (9),920
200,AND,856
200,NANY (1),636
200,NANY (3),642
200,NANY (5),646
200,NANY (7),651
200,NANY (9),657
200,NAND,596
250,Issuing,1828
250,Possession,687
250,ANY (1),1265
250,ANY (3),1253
250,ANY (5),1245
250,ANY (7),1237
250,ANY (9),1225
250,AND,1163
250,NANY (1),773
250,NANY (3),781
250,NANY (5),783
250,NANY (7),786
250,NANY (9),791
250,NAND,730
